date,close,open,high,low,volume,change,sequence,sq
2014年1月2日,"2,109.39","2,112.13","2,113.11","2,101.02",6.85B,-0.31%,489.00,1.00
2014年1月3日,"2,083.14","2,101.54","2,102.17","2,075.90",8.45B,-1.24%,488.00,2.00
2014年1月6日,"2,045.71","2,078.68","2,078.68","2,034.01",8.96B,-1.80%,487.00,3.00
2014年1月7日,"2,047.32","2,034.22","2,052.28","2,029.25",6.34B,0.08%,486.00,4.00
2014年1月8日,"2,044.34","2,047.26","2,062.95","2,037.11",7.16B,-0.15%,485.00,5.00
2014年1月9日,"2,027.62","2,041.77","2,057.20","2,026.45",7.59B,-0.82%,484.00,6.00
2014年1月10日,"2,013.30","2,023.54","2,029.30","2,008.01",7.56B,-0.71%,483.00,7.00
2014年1月13日,"2,009.56","2,014.98","2,027.18","2,000.40",6.65B,-0.19%,482.00,8.00
2014年1月14日,"2,026.84","2,007.16","2,027.43","2,001.14",7.04B,0.86%,481.00,9.00
2014年1月15日,"2,023.35","2,024.23","2,027.41","2,010.20",6.74B,-0.17%,480.00,10.00
2014年1月16日,"2,023.70","2,022.54","2,034.71","2,014.41",7.28B,0.02%,479.00,11.00
2014年1月17日,"2,004.95","2,017.52","2,017.87","2,001.33",6.73B,-0.93%,478.00,12.00
2014年1月20日,"1,991.25","2,001.89","2,005.94","1,984.82",5.63B,-0.68%,477.00,13.00
2014年1月21日,"2,008.31","1,992.02","2,014.15","1,992.02",5.98B,0.86%,476.00,14.00
2014年1月22日,"2,051.75","2,009.97","2,052.34","2,008.93",9.89B,2.16%,475.00,15.00
2014年1月23日,"2,042.18","2,048.33","2,052.53","2,039.05",8.42B,-0.47%,474.00,16.00
2014年1月24日,"2,054.39","2,037.67","2,060.99","2,034.45",9.29B,0.60%,473.00,17.00
2014年1月27日,"2,033.30","2,044.27","2,044.85","2,029.63",8.88B,-1.03%,472.00,18.00
2014年1月28日,"2,038.51","2,036.40","2,047.13","2,026.99",7.25B,0.26%,471.00,19.00
2014年1月29日,"2,049.91","2,042.18","2,051.58","2,039.77",7.39B,0.56%,470.00,20.00
2014年1月30日,"2,033.08","2,045.93","2,045.93","2,031.47",6.26B,-0.82%,469.00,21.00
2014年2月7日,"2,044.50","2,022.32","2,044.73","2,014.70",7.36B,0.56%,468.00,22.00
2014年2月10日,"2,086.07","2,049.98","2,087.97","2,049.98",12.43B,2.03%,467.00,23.00
2014年2月11日,"2,103.67","2,086.18","2,111.06","2,082.52",14.22B,0.84%,466.00,24.00
2014年2月12日,"2,109.96","2,103.83","2,110.90","2,096.51",12.63B,0.30%,465.00,25.00
2014年2月13日,"2,098.40","2,106.93","2,122.83","2,096.97",14.65B,-0.55%,464.00,26.00
2014年2月14日,"2,115.85","2,097.32","2,116.19","2,095.09",11.15B,0.83%,463.00,27.00
2014年2月17日,"2,135.41","2,124.88","2,136.45","2,117.69",14.02B,0.92%,462.00,28.00
2014年2月18日,"2,119.07","2,134.14","2,134.14","2,113.13",14.29B,-0.77%,461.00,29.00
2014年2月19日,"2,142.55","2,116.92","2,152.96","2,111.17",15.13B,1.11%,460.00,30.00
2014年2月20日,"2,138.78","2,152.89","2,177.98","2,136.48",15.71B,-0.18%,459.00,31.00
2014年2月21日,"2,113.69","2,131.59","2,132.70","2,098.33",11.77B,-1.17%,458.00,32.00
2014年2月24日,"2,076.69","2,099.72","2,099.72","2,058.79",12.36B,-1.75%,457.00,33.00
2014年2月25日,"2,034.22","2,077.28","2,087.62","2,026.54",14.01B,-2.05%,456.00,34.00
2014年2月26日,"2,041.25","2,026.61","2,041.63","2,014.38",11.01B,0.35%,455.00,35.00
2014年2月27日,"2,047.35","2,045.10","2,068.31","2,036.39",13.22B,0.30%,454.00,36.00
2014年2月28日,"2,056.30","2,040.62","2,058.49","2,020.93",11.16B,0.44%,453.00,37.00
2014年3月3日,"2,075.23","2,052.08","2,078.33","2,047.07",12.75B,0.92%,452.00,38.00
2014年3月4日,"2,071.47","2,068.11","2,074.03","2,050.12",11.59B,-0.18%,451.00,39.00
2014年3月5日,"2,053.08","2,073.29","2,074.81","2,050.18",10.77B,-0.89%,450.00,40.00
2014年3月6日,"2,059.58","2,050.03","2,065.79","2,030.95",10.93B,0.32%,449.00,41.00
2014年3月7日,"2,057.91","2,058.38","2,079.49","2,050.47",10.37B,-0.08%,448.00,42.00
2014年3月10日,"1,999.06","2,042.35","2,042.63","1,995.55",11.57B,-2.86%,447.00,43.00
2014年3月11日,"2,001.16","1,994.42","2,008.07","1,985.60",9.27B,0.11%,446.00,44.00
